x, y
0.2324942898958423, 0.03771551117637644
0.26864990976503966, 0.036422407738731594
0.307551525019225, 0.05150862108831885
0.3665904257964679, 0.09353448281177587
0.4411899391549335, 0.11939655156467249
0.49427921119841184, 0.1200431032834949
0.5560641073606428, 0.12306033806093533
0.578947346368124, 0.015948276553085963
0.6260869896778378, 0.013577573763275425
0.6768879043001166, 0.015301724834263536
0.7336384476561599, 0.01616378063856505
0.7977117012395905, 0.015517228919742623
0.8791762030605261, 0.014439669029962035
0.9235697671841232, 0.012931022044452997
