x, y
0.23407137604872974, 0.27202269901994236
0.26796202129567015, 0.3559546603704118
0.3081789479023172, 0.35708885852370753
0.3682783725970304, 0.39224952047850936
0.4401265405205441, 0.39905481323881054
0.4966108941048894, 0.40132326146566544
0.5797559989379387, 0.5017013296801083
0.5567103601700192, 0.4183364933664184
0.6244916506639001, 0.5096408465538369
0.6755535010087349, 0.5368620175950418
0.7302304638343542, 0.5595463181426686
0.7939448768986023, 0.578260873233497
0.8761861208706223, 0.6009451737811238
0.9173068255974655, 0.6105860138449277
