10 30
1.306400274180565e-01 1.568282907297309e+00 0.000000000000000e+00
1.353766869939672e-01 1.742460057897147e+00 0.000000000000000e+00
1.406704753864464e-01 1.916610670660892e+00 0.000000000000000e+00
1.465623091126376e-01 2.090729516938334e+00 0.000000000000000e+00
1.530830705920969e-01 2.264811287428547e+00 0.000000000000000e+00
1.602516144739691e-01 2.438850923098784e+00 0.000000000000000e+00
1.681358390945443e-01 2.612839375633898e+00 0.000000000000000e+00
1.767630015614556e-01 2.786769472424834e+00 0.000000000000000e+00
1.861964239190578e-01 2.960630366676233e+00 0.000000000000000e+00
1.965338858032988e-01 3.134406196075687e+00 0.000000000000000e+00
2.078434249511918e-01 3.308081762985221e+00 0.000000000000000e+00
2.202454232534288e-01 3.481633866614910e+00 0.000000000000000e+00
2.338890165584556e-01 3.655031716475517e+00 0.000000000000000e+00
2.489611834397957e-01 3.828233728504735e+00 0.000000000000000e+00
2.657721821513109e-01 4.001170483853983e+00 0.000000000000000e+00
2.846562517128352e-01 4.173752243013721e+00 0.000000000000000e+00
3.062275130077076e-01 4.345810854053878e+00 0.000000000000000e+00
3.314200675661093e-01 4.517050194034193e+00 0.000000000000000e+00
3.621242986695763e-01 4.686782972090842e+00 0.000000000000000e+00
4.026979566414645e-01 4.852982552420384e+00 0.000000000000000e+00
4.725014029538567e-01 5.000000000000000e+00 0.000000000000000e+00
2.222222222222222e-01 -3.061616997868383e-16 0.000000000000000e+00
2.223956916134976e-01 1.742833606131530e-01 0.000000000000000e+00
2.229029972251396e-01 3.485645864216542e-01 0.000000000000000e+00
2.237458222890240e-01 5.228415926675841e-01 0.000000000000000e+00
2.249269213431282e-01 6.971122406344057e-01 0.000000000000000e+00
2.264529851292196e-01 8.713742209666173e-01 0.000000000000000e+00
2.283402779161235e-01 1.045624731436758e+00 0.000000000000000e+00
2.305823606098431e-01 1.219861596110794e+00 0.000000000000000e+00
2.331870498980498e-01 1.394082117981005e+00 0.000000000000000e+00
2.361714481557551e-01 1.568282907297310e+00 0.000000000000000e+00
2.395547764242628e-01 1.742460057897147e+00 0.000000000000000e+00
2.433360538474623e-01 1.916610670660891e+00 0.000000000000000e+00
2.475445065090274e-01 2.090729516938334e+00 0.000000000000000e+00
2.522021932800700e-01 2.264811287428547e+00 0.000000000000000e+00
2.573225817671216e-01 2.438850923098784e+00 0.000000000000000e+00
2.629541707818183e-01 2.612839375633899e+00 0.000000000000000e+00
2.691164296867550e-01 2.786769472424833e+00 0.000000000000000e+00
2.758545885136138e-01 2.960630366676233e+00 0.000000000000000e+00
2.832384898595001e-01 3.134406196075687e+00 0.000000000000000e+00
2.913167321079954e-01 3.308081762985221e+00 0.000000000000000e+00
3.001753023238790e-01 3.481633866614910e+00 0.000000000000000e+00
3.099207261131839e-01 3.655031716475517e+00 0.000000000000000e+00
3.206865595998555e-01 3.828233728504735e+00 0.000000000000000e+00
3.326944158223665e-01 4.001170483853983e+00 0.000000000000000e+00
3.461830369377409e-01 4.173752243013721e+00 0.000000000000000e+00
3.615910807197925e-01 4.345810854053878e+00 0.000000000000000e+00
3.795857625472223e-01 4.517050194034193e+00 0.000000000000000e+00
4.015173561925557e-01 4.686782972090843e+00 0.000000000000000e+00
4.304985404581898e-01 4.852982552420382e+00 0.000000000000000e+00
4.803581449670408e-01 5.000000000000000e+00 0.000000000000000e+00
3.333333333333333e-01 -3.061616997868384e-16 0.000000000000000e+00
3.334374149680986e-01 1.742833606131530e-01 0.000000000000000e+00
3.337417983350839e-01 3.485645864216544e-01 0.000000000000000e+00
3.342474933734144e-01 5.228415926675846e-01 0.000000000000000e+00
3.349561528058770e-01 6.971122406344056e-01 0.000000000000000e+00
3.358717910775320e-01 8.713742209666173e-01 0.000000000000000e+00
3.370041667496743e-01 1.045624731436758e+00 0.000000000000000e+00
3.383494163659063e-01 1.219861596110794e+00 0.000000000000000e+00
3.399122299388303e-01 1.394082117981005e+00 0.000000000000000e+00
3.417028688934536e-01 1.568282907297310e+00 0.000000000000000e+00
3.437328658545583e-01 1.742460057897148e+00 0.000000000000000e+00
