x, y
0.22937527895316057, 0.03201590296317628
0.265617545922954, 0.017609912690676056
0.3061516585736869, 0.027619264730029357
0.36432999658456333, 0.06054723882531501
0.490700979195175, 0.06709541777905777
0.43919883102390056, 0.07439195686076111
0.5531712065459029, 0.06400842047526019
0.5798760532221346, 0.06260523988262494
0.6776347312931494, 0.060360150934408524
0.7305674946914037, 0.05989241836064032
0.7963757951324766, 0.0657857768497084
0.8779208630703278, 0.07542095310724874
0.9217930924703177, 0.08290458436202591
